iter	Logloss
0	0.6755347574
1	0.6591843731
2	0.6479403514
3	0.6336491381
4	0.6214322917
5	0.6116151455
6	0.6015139772
7	0.5934284533
8	0.5875271069
9	0.581023586
10	0.5756314626
11	0.5711326133
12	0.5666578166
13	0.5619175948
14	0.5585381345
15	0.5551652299
16	0.5516939708
17	0.5485292244
18	0.5461899054
19	0.5432288756
20	0.540799964
21	0.538805071
22	0.5366005314
23	0.5348577363
24	0.532374749
25	0.5304705955
26	0.5289779383
27	0.5269125539
28	0.5252314027
29	0.523682236
30	0.5226420807
31	0.5213098063
32	0.520797072
33	0.5198348343
34	0.5189168372
35	0.5176826843
